model,accuracy,balanced_accuracy,macro_f1,log_loss
Logistic,0.5016339869281046,0.4690960842276632,0.45759555755066755,1.0085037205964746
RandomForest,0.5049019607843137,0.45539195210247846,0.4334656873537804,1.010903932435124
HistGradientBoosting,0.49836601307189543,0.44627594627594624,0.4262292237002098,1.0706371629735754
Dummy,0.4117647058823529,0.3333333333333333,0.19444444444444445,1.084118729668782
